returnOnEquity,Debt to Equity,PE ratio,Revenue Growth,operatingProfitMargin,Class
0.5196,2.7276,11.8777,0.0057,1.0,1
0.1208,0.2437,29.3289,0.0002,1.0,1
0.1158,1.1406,10.2081,0.1081,1.0,0
0.1022,0.5164,15.0342,0.0247,1.0,1
0.0768,0.6047,13.1329,3.7864,1.0,1
-0.0069,1.4503,0.0,0.684,1.0,1
-1.3257,1.3443,0.0,-0.0964,1.0,1
0.1749,1.0975,12.8743,0.2494,1.0,1
0.1011,1.3273,19.1641,0.05,1.0,1
0.1439,2.6819,94.6963,0.2005,1.0,1
0.4366,2.5961,12.23,0.2037,1.0,1
0.0502,0.773,39.2188,-0.1257,1.0,1
0.0289999999999999,1.1394,39.7101,-0.0398,1.0,0
-0.1974,0.3236,0.0,-0.0018,1.0,1
0.1308,2.5829,9.1729,-0.3265,1.0,1
0.0927,0.7757,18.1513,0.208,1.0,1
-0.0853,3.06,0.0,-0.0035,1.0,0
0.1168,1.1145,18.7088,0.0666,1.0,1
-0.2172,-6.0762,45.0,0.0445,1.0,1
0.1913,6.9765,47.0575,0.1333,1.0,1
0.2584,0.0,22.1546,0.1152,1.0,1
0.1178,0.52,14.6082,0.0009,1.0,1
0.2576,0.4462,1.716,0.5089,1.0,1
0.2501,1.1434,13.3026,0.0348,1.0,1
0.0671,1.4633,119.1288,0.0782,1.0,0
0.0773,0.4349,25.3866,0.1161,1.0,1
0.206,1.1428,18.6711,0.0251,1.0,1
0.1807,0.1116,22.3455,0.0413,1.0,1
0.2804,1.5515,2.6216,-0.0282,1.0,0
0.1358,0.2412,5.3751,-0.0053,1.0,0
0.375,6.0147,7.9451,0.0196,1.0,1
0.1567,1.8898,10.9382,0.0454,1.0,1
-0.5539,-9.9662,28.7934,0.0608,1.0,1
0.7099,2.8943,13.7732,0.0383,1.0,1
0.2767,0.4406,47.517,0.2367,1.0,1
0.5136,3.4191,14.8078,0.0539,1.0,1
0.2536,0.497,15.0935,0.0675,1.0,1
0.2726,1.024,4.575,-0.0374,1.0,0
-0.1983,2.4319,0.0,0.8251,1.0,1
0.1676,0.4165,12.8485,0.067,1.0,1
0.2187,0.0877,16.1348,0.0242,1.0,1
0.1009999999999999,1.1773,8.4235,0.6678,1.0,1
0.0635,2.1348,11.9114,-0.1568,1.0,1
0.0441,0.4492,8.25,0.2556,1.0,0
-0.0069999999999999,0.6974,0.0,0.1715,1.0,1
0.5363,3.2331,18.478,0.0616,1.0,1
0.0877,0.9848,10.9605,0.1107,1.0,1
0.0971,0.3281,8.2949,0.0904,1.0,1
0.1245,0.2463,12.0211,0.0042,1.0,1
0.1225,0.4933,33.3597,0.3101,1.0,0
0.0826,0.2444,20.3438,-0.0584,1.0,1
0.1139,1.2962,19.2922,0.045,1.0,1
0.1369999999999999,1.1844,16.1824,0.1114,1.0,1
0.0802,0.6539,6.0186,0.405,1.0,0
0.1004,0.9013,15.4091,0.2198,1.0,1
-0.5415,1.7385,0.0,-0.0219,1.0,0
0.4123,1.6654,2.5659,0.4291,1.0,0
-0.0869,0.367,0.0,0.1914,1.0,0
-0.6694,0.4412,0.0,0.3354,1.0,1
0.1608,0.9387,15.109000000000002,0.5091,1.0,0
0.1461,0.5965,5.3991,-0.0001,1.0,1
-0.0157,0.3229,0.0,-0.0184,1.0,1
0.162,0.0,42.0842,0.13,1.0,1
-0.023,0.3614,0.0,0.0409,1.0,1
0.2199,1.038,18.68,0.0142,1.0,1
0.3198,0.604,5.5836,0.2393,1.0,1
0.862,2.2263,12.4977,0.0179,1.0,1
0.0772,1.6133,20.1468,0.0201,1.0,1
0.2449,0.5139,32.8224,0.0973,1.0,1
-0.0745,0.0,0.0,0.1383,1.0,1
0.0558,1.3862,80.4667,0.2449,1.0,1
0.1281,0.0,18.7626,0.2906,1.0,1
0.1159999999999999,5.3835,6.5433,0.1187,1.0,1
0.0686,3.885,86.7143,0.1721,1.0,1
-0.1442,2.3675,0.0,0.0617,1.0,1
0.0467,0.1081,137.9,0.4807,1.0,1
0.2462,0.532,22.3103,0.1405,1.0,1
0.0457,1.2118,38.1486,0.1014,1.0,1
-0.0191,0.8502,0.0,0.2284,1.0,1
1.086,1.1741,33.508,0.1963,1.0,1
0.8226,3.6274,16.1247,0.0914,1.0,1
0.3979999999999999,0.4228,31.5093,0.0772,1.0,1
0.275,0.0,27.6517,0.13,1.0,1
0.115,3.3425,5.6571,-0.0471,1.0,1
0.1776,2.1474,6.1674,0.2282,1.0,1
-0.0568,0.5382,0.0,-0.1179,1.0,1
-0.2228,8.0127,0.0,-0.017,1.0,1
0.2317,3.9654,56.6989,0.1165,1.0,1
-0.2783,0.0,0.0,0.3864,1.0,1
0.1696,0.6123,9.676,-0.0048,1.0,1
0.1332,0.4669,13.927,0.0591,1.0,1
0.0608,1.3223,22.9521,0.0406,1.0,1
-0.9357,0.0,0.0,-0.2661,1.0,0
0.2239999999999999,1.8217,7.4025,0.0901,1.0,1
0.1944,1.1045,12.3892,-0.026,1.0,1
0.0808,0.1886,23.0333,0.7259,1.0,1
0.0351,0.5778,32.4286,1.2105,1.0,1
0.0953,0.4416,12.7632,0.0578,1.0,1
0.0401,1.0507,50.9478,0.048,1.0,1
0.0764,0.491,75.7531,0.1116,1.0,1
0.1666,0.0336,9.8907,0.0844,1.0,1
-0.7661,-1.9506,2.3953,0.1922,1.0,1
0.3662,0.3717,11.6096,0.3823,1.0,1
0.2102,0.7,10.8083,0.0163,1.0,1
0.4045,1.1833,10.0078,0.1653,1.0,1
0.1337,0.9206,13.5845,0.1222,1.0,1
-0.0126,0.8506,0.0,0.0045,1.0,1
0.14,1.8722,14.9859,0.3677,1.0,1
0.055,0.9088,34.1921,0.0889,1.0,1
0.5066,0.4333,18.5512,0.0808,1.0,1
0.074,0.4973,20.2483,0.0712,1.0,1
0.1585,0.833,11.8949,0.0205,1.0,0
0.2378,0.456,7.4099,0.2194,1.0,0
0.2716,0.4221,18.3119,0.1269,1.0,1
0.1179,0.8178,12.2303,0.1479,1.0,0
-0.0072,0.1458,0.0,0.0147,1.0,1
0.2174,0.4693,40.9829,0.0314,1.0,1
0.0758,1.1274,16.9342,0.0458,1.0,1
0.3721,0.8919,14.5187,0.0313,1.0,1
0.2643,0.0,12.9547,0.1352,1.0,1
0.173,0.0226,23.6309,0.2342,1.0,1
0.1156,0.4326,21.7717,0.0741,1.0,1
1.2656,-0.0246,0.0,-0.5393,1.0,1
0.0827,0.7347,22.0808,0.0389,1.0,1
